deviceid,s_school,s_start,s_coordinates,_s_coordinates_latitude,_s_coordinates_longitude,_s_coordinates_altitude,_s_coordinates_precision,s_neighborhood,s_1_note,s_rainweek,s_participant_num,s_participant_gender,s_participant_female_obs,s_participant_male_obs,s_participant_female,s_participant_male,s_neighborhood_y,s_neighborhood_n,s_s_c,s_s_c_note,s_s_c_note_2,s_s_c_3,s_s_c_2,s_s_c_1,s_s_c_0,s_s_c_na,s_s_a,s_s_a_note,s_s_a_note_2,s_s_a_3,s_s_a_2,s_s_a_1,s_s_a_0,s_s_a_na,s_d_c,s_d_c_note,s_d_c_note_2,s_d_c_3,s_d_c_2,s_d_c_1,s_d_c_0,s_d_c_na,s_d_a,s_d_a_note,s_d_a_note_2,s_d_a_3,s_d_a_2,s_d_a_1,s_d_a_0,s_d_a_na,s_f_c,s_f_c_note,s_f_c_note_2,s_f_c_3,s_f_c_2,s_f_c_1,s_f_c_0,s_f_c_na,s_f_a,s_f_a_note,s_f_a_note_2,s_f_a_3,s_f_a_2,s_f_a_1,s_f_a_0,s_f_a_na,s_dw_c,s_dw_c_note,s_dw_c_note_2,s_dw_c_3,s_dw_c_2,s_dw_c_1,s_dw_c_0,s_dw_c_na,s_dw_a,s_dw_a_note,s_dw_a_note_2,s_dw_a_3,s_dw_a_2,s_dw_a_1,s_dw_a_0,s_dw_a_na,s_dw_e_wt,s_dw_e_wt_note,s_dw_e_wt_note_2,s_dw_e_wt_1,s_dw_e_wt_0,s_dw_e_wt_na,s_o_c,s_o_c_note,s_o_c_note_2,s_o_c_3,s_o_c_2,s_o_c_1,s_o_c_0,s_o_c_na,s_o_a,s_o_a_note,s_o_a_note_2,s_o_a_3,s_o_a_2,s_o_a_1,s_o_a_0,s_o_a_na,s_bw_c,s_bw_c_note,s_bw_c_note_2,s_bw_c_3,s_bw_c_2,s_bw_c_1,s_bw_c_0,s_bw_c_na,s_bw_a,s_bw_a_note,s_bw_a_note_2,s_bw_a_3,s_bw_a_2,s_bw_a_1,s_bw_a_0,s_bw_a_na,s_p_c,s_p_c_note,s_p_c_note_2,s_p_c_3,s_p_c_2,s_p_c_1,s_p_c_0,s_p_c_na,s_p_a,s_p_a_note,s_p_a_note_2,s_p_a_3,s_p_a_2,s_p_a_1,s_p_a_0,s_p_a_na,s_p_e_note,s_p_e_note_2,s_p_e_2,s_p_e_1,s_p_e_na,s_sf_c,s_sf_c_note,s_sf_c_note_2,s_sf_c_3,s_sf_c_2,s_sf_c_1,s_sf_c_0,s_sf_c_na,s_sf_a,s_sf_a_note,s_sf_a_note_2,s_sf_a_3,s_sf_a_2,s_sf_a_1,s_sf_a_0,s_sf_a_na,s_l_c,s_l_c_note,s_l_c_note_2,s_l_c_3,s_l_c_2,s_l_c_1,s_l_c_0,s_l_c_na,s_l_a,s_l_a_note,s_l_a_note_2,s_l_a_3,s_l_a_2,s_l_a_1,s_l_a_0,s_l_a_na,s_pl_a_th,s_pl_a_th_note,s_pl_a_th_note_2,s_pl_a_th_1,s_pl_a_th_0,s_pl_a_th_na,s_pl_a_tu_note,s_pl_a_tu_1,s_pl_a_tu_0,s_pl_a_tu_na,s_pl_a_tu_nl,s_pl_a_tw_note,s_pl_a_tw_note_2,s_pl_a_tw_1,s_pl_a_tw_0,s_pl_a_tw_na,s_pl_a_tw_nl,s_pl_a_tf_note,s_pl_a_tf_note_2,s_pl_a_tf_1,s_pl_a_tf_0,s_pl_a_tf_na,s_pl_a_tf_nl,s_end,s_participant_female_obs_end,s_participant_male_obs_end,s_notes,s_enum,__version__,_id,_uuid,_submission_time,_index
3.60E+14,Kamlapur Sher-e Bangla Railway School and College (School-12),2017-07-31T10:17:00.000+06,,,,,,66,,1,16,2,9,7,9,7,16,0,,,,6,1,2,6,1,,,,8,3,1,1,3,,,,5,1,3,4,3,,,,5,3,0,2,6,,,,6,2,4,2,2,,,,5,3,3,3,2,,,,16,0,0,0,0,,,,16,0,0,0,0,,,,8,6,2,,,,,,,,,,,,,,,,,,,,4,12,0,0,0,,,,6,9,1,0,0,,,,3,1,2,7,3,,,,7,1,3,3,2,,,16,0,0,,,,9,5,2,0,0,,,,7,3,3,3,0,,,,4,4,0,6,2,,,,6,3,5,1,1,,,,11,4,1,,11,4,1,0,,,13,2,1,0,,,2,13,1,0,,9,7,,25,,5323,4ed09a29-f4db-4a6c-a4e2-6258e0a76d7e,2017-08-24T07:04:37,26
3.60E+14,Ideal Biddya Niketon School  (School-20),2017-08-02T13:05:00.000+06,,,,,,22,,1,20,2,10,10,10,10,20,0,,,,5,2,1,9,3,,,,4,1,6,5,4,,,,9,3,5,3,0,,,,5,3,4,0,8,,,,2,3,7,3,5,,,,11,3,2,1,3,,,,12,0,1,3,4,,,,14,0,1,1,4,,,,19,1,0,,,,,,,,,,,,,,,,,,,,8,7,5,0,0,,,,3,11,3,0,3,,,,0,4,7,7,2,,,,1,2,5,4,8,,,15,2,3,,,,0,4,9,6,1,,,,0,0,7,7,6,,,,5,1,2,8,4,,,,4,3,0,9,4,,,,10,10,0,,15,0,5,10,,,16,0,4,10,,,2,18,0,10,,10,10,,29,,5324,1a25089c-fc80-44ce-8565-c78f73aab559,2017-08-24T07:09:17,27
3.60E+14,Anando Nagor Adorsho High School (School-6),2017-07-30T11:00:00.000+06,,,,,,22,,1,20,2,10,10,10,10,20,0,,,,2,1,6,11,0,,,,1,2,8,9,0,,,,5,2,4,9,0,,,,7,3,3,6,1,,,,3,3,10,4,0,,,,6,3,8,3,0,,,,9,6,1,3,1,,,,7,7,1,4,1,,,,9,5,6,,,,,,,,,,,,,,,,,,,,3,5,10,0,2,,,,3,13,2,0,2,,,,7,5,3,5,0,,,,4,7,4,5,0,,,19,0,1,,,,6,3,8,3,0,,,,1,4,5,8,2,,,,2,5,8,5,0,,,,1,4,7,4,4,,,,13,7,0,,14,0,0,6,,,20,0,0,0,,,4,14,1,1,,10,10,,29,,5325,22254c5c-a5e6-495f-8f31-8a2a1564b711,2017-08-24T07:12:20,28
3.60E+14,Fatema Zinnah Govt: Primary School (School-9),2017-07-31T11:50:00.000+06,,,,,,88,,1,18,2,11,7,11,7,18,0,,,,2,3,6,7,0,,,,5,2,8,2,1,,,,9,3,5,1,0,,,,10,4,3,1,0,,,,5,7,5,0,1,,,,5,4,5,3,1,,,,17,0,0,0,1,,,,16,1,0,0,1,,,,16,2,0,,,,,,,,,,,,,,,,,,,,4,13,1,0,0,,,,6,6,5,0,1,,,,1,3,12,2,0,,,,1,0,11,0,6,,,18,0,0,,,,8,1,7,0,2,,,,4,1,3,3,7,,,,7,2,1,8,0,,,,9,1,3,4,1,,,,9,8,1,,9,0,0,9,,,17,0,0,8,,,5,5,0,8,,11,7,,33,,5326,75e67979-84be-4cbc-ac3c-e0331eab6992,2017-08-24T07:14:00,29
3.60E+14,Ramkreshno Mishon School (School-19),2017-08-01T13:05:00.000+06,,,,,,66,,1,18,0,,,,,18,0,,,,8,2,7,1,0,,,,5,4,5,4,0,,,,10,4,2,2,0,,,,13,1,2,2,0,,,,13,2,2,1,0,,,,11,4,1,0,2,,,,18,0,0,0,0,,,,18,0,0,0,0,,,,17,0,1,,,,,,,,,,,,,,,,,,,,15,2,1,0,0,,,,13,5,0,0,0,,,,10,5,0,3,0,,,,11,3,1,2,1,,,15,1,2,,,,11,2,1,4,0,,,,6,4,3,4,1,,,,3,0,0,15,0,,,,3,0,0,15,0,,,,15,3,0,,15,0,0,3,,,15,0,0,3,,,3,13,0,2,,,,,37,,5327,2eb344de-3d1f-4683-9846-a914673a286c,2017-08-24T07:15:32,30
3.60E+14,Rishing High School (School-4),2017-07-30T13:10:00.000+06,,,,,,66,,1,15,2,8,7,8,7,15,0,,,,3,5,0,5,2,,,,0,1,0,14,0,,,,0,0,2,13,0,,,,2,0,0,13,0,,,,2,2,4,7,0,,,,7,0,3,4,1,,,,13,0,0,2,0,,,,12,1,0,2,0,,,,12,2,1,,,,,,,,,,,,,,,,,,,,10,5,0,0,0,,,,5,10,0,0,0,,,,0,8,3,4,0,,,,2,3,1,5,4,,,15,0,0,,,,4,1,4,4,2,,,,4,1,3,5,2,,,,0,3,0,12,0,,,,0,3,0,12,0,,,,12,3,0,,12,0,0,3,,,11,1,0,3,,,0,12,0,3,,8,7,,37,,5328,43828a79-8f04-4129-904b-d464519614d2,2017-08-24T07:16:48,31
3.60E+14,Motijhil Govt: primary School  (School-30),2017-08-19T13:30:00.000+06,,,,,,99,,1,19,2,17,2,17,2,19,0,,,,2,0,0,13,4,,,,6,0,3,7,3,,,,1,4,0,11,3,,,,5,5,5,4,0,,,,1,7,10,0,1,,,,3,4,7,2,3,,,,19,0,0,0,0,,,,19,0,0,0,0,,,,16,3,0,,,,,,,,,,,,,,,,,,,,6,9,4,0,0,,,,10,3,6,0,0,,,,6,2,11,0,0,,,,5,3,6,1,4,,,19,0,0,,,,13,2,4,0,0,,,,10,4,2,3,0,,,,0,0,0,19,0,,,,0,0,2,15,2,,,,19,0,0,,19,0,0,0,,,10,3,6,0,,,1,18,0,0,,17,2,,9,,5329,c4fe519f-fb21-4f3a-a371-20b3da76ca5f,2017-08-24T07:18:39,32
3.60E+14,Viqarunnisa Noon School and College(school-32) (Batch-1),2017-08-28T12:39:00.000+06,23.7457241 90.3844919 0.0 35.026,23.7457241,90.3844919,0,35.026,0,,1,12,1,,,,,12,0,,,,5,1,1,4,1,,,,3,4,3,1,1,,,,7,2,1,1,1,,,,7,0,3,1,1,,,,2,1,6,3,0,,,,0,5,5,0,2,,,,8,3,0,1,0,,,,8,3,0,0,1,,,,9,1,2,,,,,,,,,,,,,,,,,,,,0,11,1,0,0,,,,2,9,1,0,0,,,,1,0,5,5,1,,,,2,1,1,4,4,,,10,1,1,,,,1,4,3,3,1,,,,1,4,3,3,1,,,,0,0,0,12,0,,,,0,0,0,12,0,,,,12,0,0,,12,0,0,0,,,12,0,0,0,,,2,10,0,0,,,,Valo uttor diasa,25,,5330,668201ac-d086-49c7-aa80-78da4a1012a9,2017-08-28T16:41:55,33
3.60E+14,Viqarunnisa noon school and college  (school 33) (Batch-2),2017-08-28T12:47:00.000+06,23.745899 90.3842619 0.0 24.419,23.745899,90.3842619,0,24.419,0,,1,10,1,,,,,10,0,,,,1,0,4,5,0,,,,2,0,3,3,2,,,,5,1,2,2,0,,,,2,1,2,2,3,,,,0,0,7,1,2,,,,0,2,3,2,3,,,,7,1,0,1,1,,,,7,0,2,1,0,,,,9,0,1,,,,,,,,,,,,,,,,,,,,0,5,1,0,4,,,,1,8,0,0,1,,,,2,0,4,4,0,,,,1,1,2,3,3,,,9,0,1,,,,1,0,6,2,1,,,,0,3,0,5,2,,,,0,0,0,10,0,,,,0,0,0,10,0,,,,10,0,0,,10,0,0,0,,,10,0,0,0,,,0,10,0,0,,,,Class Choi Hoyas katene classes bare otirikto student via korer monojogi rakhote samosha hoyesilo,1,,5331,9a6a6954-d64e-4b3b-969c-8759b8287106,2017-08-28T16:43:08,34
3.58E+14,Scholastica School Gulshan,2017-11-22T11:34:00.000+06,,,,,,55,,1,16,2,7,9,7,9,6,10,,,,0,5,3,8,0,,,,3,0,0,13,0,,,,0,1,2,13,0,,,,0,0,3,13,0,,,,0,2,5,9,0,,,,2,2,5,7,0,,,,16,0,0,0,0,,,,16,0,0,0,0,,,,16,0,0,,,,,,,,,,,,,,,,,,,,1,11,4,0,0,,,,2,9,5,0,0,,,,3,5,5,3,0,,,,3,3,8,2,0,,,12,0,4,,,,0,0,8,8,0,,,,0,2,3,11,0,,,,12,4,0,0,0,,,,2,1,5,8,0,,,,16,0,0,,16,0,0,0,,,16,0,0,0,,,0,16,0,0,,7,9,,1,,5372,2bd8d62d-f946-48b6-9500-ccfd3b6b11d5,2017-12-03T05:11:13,35
