"SampleID","CompoundID","ec_dd","ec_th","ev_lat","ev_long","ev_way","neighbor","dis_lat","ev_notes","source_bw","source_other","stored","covered","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","tc_ecnt1","tc_ecnt2","tc_ecnt3","ec_blank","tc_blank","collectr","sp_area","dis_com","weight","feces_3m","lat_type","lat_other","n_stall","Vis_fec","HW_stat","ev_way.1","operator","lab_UID"
"SPA2029",2029,"5/12/2015","10:48:00 AM",25.94406,32.56064,"027-29",1,,"",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,50,,0,0,"AMADEU,GIZELA",1,1,31.1,0,,,,,,"027-29","MARCIO AMOS","05_08_1086"
"SPA2030",2030,"3/26/2015","9:15:00 AM",25.94729,32.55231,"015-32",1,,"",,,,,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",999,999,999,0,0,"GISELA-ELOISA",1,1,18.18,0,,,,,,"015.32","MARIA","05_08_1087"
"SPA2031",2031,"3/3/2015","9:42:00 AM",25.94626,32.55228,"002-29",1,,"",,,,,2015-03-03,"16:00:00",2015-03-03,"17:08:00",2015-03-04,"17:08:00",999,999,,0,0,"GIZELA/ELAISA",1,1,28.35,0,,,,,,"002-29","MARIA ISABEL","05_08_1088"
"SPA2032",2032,"3/3/2015","9:47:00 AM",25.94355,32.5577,"001-29",1,,"",,,,,2015-03-03,"15:05:00",2015-03-03,"15:30:00",2015-03-04,"15:32:00",998,999,,0,0,"ANABELA/BACELAR",1,1,23,0,,,,,,"00129","MARIO AMOS","05_08_1089"
"SPA2035",2035,"3/5/2015","9:45:00 AM",25.94489,32.55388,"005-32",1,,"",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",998,999,,0,0,"ELAISA-GIZELA",1,1,19.7,0,,,,,,"005.32","LAURINDA MACUCULE","05_08_1090"
"SPA2036",2036,"3/6/2015","10:00:00 AM",25.9369,32.56394,"002-30",1,,"",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",998,999,,0,0,"AMADEU",1,1,31.36,0,,,,,,"002.30","MARIO AMOS","05_08_1091"
"SPA2037",2037,"3/9/2015","9:59:00 AM",25.93122,32.56152,"165-31",1,,"",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,999,,0,0,"ANABELA/BACELAR",1,1,17.26,0,,,,,,"165-31","SALAMA XAVIER","05_08_1092"
"SPA2038",2038,"3/6/2015","10:09:00 AM",25.93502,32.56244,"004-29",1,,"",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",998,999,,0,0,"BACELAR/ANABELA",1,1,20.57,0,,,,,,"004.29","MARIO AMOS","05_08_1093"
"SPA2039",2039,"3/9/2015","11:06:00 AM",25.94912,32.55864,"003-39",1,,"SAMPLE COLLECTED IN AN AREA THAT WAS SAND INCOMATE, DUG UP 5 CM DEPTH",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,75,,0,0,"GISELA-ELOISA",1,1,19.72,0,,,,,,"003.39","SALMA XAVIER","05_08_1094"
"SPA2040",2040,"3/10/2015","9:16:00 AM",25.94873,32.55939,"006-29",1,,"",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"ANABELA/BACELAR",1,1,21.86,0,,,,,,"006.29","MARIA ISABEL","05_08_1095"
"SPA2041",2041,"3/10/2015","9:23:00 AM",25.95259,32.55969,"006-30",1,,"",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"AMADEU/ELOISA",1,1,24.77,0,,,,,,"006.30","MARIA ISABEL","05_08_1096"
"SPA2042",2042,"3/25/2015","9:39:00 AM",25.94624,32.55561,"023-29",1,,"PRESENTED PALLID COLONIES",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"AMADEU/ANABELA",1,3,18.35,0,,,,,,"023.29","SALMA XAVIER","05_08_1097"
"SPA2043",2043,"3/25/2015","9:17:00 AM",25.94522,32.55672,"013-32",1,,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"GISELA-ELOISA",1,1,32.17,0,,,,,,"013.32","SALMA XAVIER","05_08_1098"
"SPA2044",2044,"5/12/2015","10:05:00 AM",25.94183,32.55693,"002-01",1,,"",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",53,11,,0,0,"ELOISA - BACELAR",1,1,33.7,0,,,,,,"002-01","MARCIO AMOS","05_08_1099"
"SPA3001",3001,"3/11/2015","9:55:00 AM",25.94446,32.57908,"007-29",2,,"",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",999,999,999,0,0,"ANABELA/AMADEU",1,1,22.39,0,,,,,,"007.29","LAURINDA MACUCULE","05_08_1100"
"SPA3006",3006,"3/12/2015","9:17:00 AM",25.94412,32.58353,"011-30",2,,"",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",999,999,,0,0,"AMADEU",1,1,26.1,0,,,,,,"011.30","MARIO AMOS","05_08_1101"
"SPA3030",3030,"3/13/2015","9:26:00 AM",25.94329,32.58135,"015-29",2,,"",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",999,999,999,0,0,"ANABELA/BSCELSR",1,1,19.09,0,,,,,,"015.29","SALMA XAVIER","05_08_1102"
"SPA3031",3031,"3/11/2015","10:29:00 AM",25.94339,32.57967,"009-30",2,,"",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",999,999,999,999,999,"GIZELA/ELOISA",1,1,20.88,0,,,,,,"009.30","LAURINDA MACUCULE","05_08_1103"
"SPA3032",3032,"3/18/2015","10:34:00 AM",25.94499,32.58333,"011-32",2,,"",,,,,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",998,998,999,0,999,"ELOISA",1,1,37.42,0,,,,,,"011.32","SALMA XAVIER","05_08_1104"
"SPA3033",3033,"3/24/2015","9:14:00 AM",25.94155,32.58818,"170-31",2,,"",,,,,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",998,999,0,0,0,"GISELA-ELOISA",1,1,32.13,0,,,,,,"170.31","MARIO AMOS","05_08_1105"
"SPA3034",3034,"3/13/2015","9:25:00 AM",25.94316,32.58111,"013-30",2,,"",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",998,998,999,156,999,"AMADEU",1,1,30.72,0,,,,,,"013.30","SALMA XAVIER","05_08_1106"
"SPA3036",3036,"3/18/2015","11:02:00 AM",25.94178,32.58837,"020-29",2,,"",,,,,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",999,999,118,0,0,"AMADEU",1,1,23.5,0,,,,,,"020.29","SALMA XAVIER","05_08_1107"
"SPA3037",3037,"3/12/2015","9:24:00 AM",25.94507,32.57919,"012-29",2,,"",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",999,37,,0,0,"ANABELA/BACELAR",1,1,25.67,0,,,,,,"012.29","MARIO AMOS","05_08_1108"
"SPA3039",3039,"3/24/2015","8:56:00 AM",25.94156,32.58811,"168-31",2,,"",,,,,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",999,999,999,0,0,"AMDEU/ANABELA",1,1,21.33,0,,,,,,"168.31","MARCIO AMOS","05_08_1109"
"SPB2029",2029,"5/12/2015","10:50:00 AM",25.94406,32.56064,"027-29",1,,"",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,78,,0,0,"AMADEU-GIZELA",1,3,22.18,0,,,,,,"027","MARCIO AMOS","05_08_1110"
"SPB2030",2030,"3/26/2015","9:21:00 AM",25.94729,32.55231,"015-32",1,,"",,,,,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",999,999,999,0,0,"ELOISA-GISELA",1,3,18.37,0,,,,,,"015.32","MARIA","05_08_1111"
"SPB2031",2031,"3/3/2015","9:51:00 AM",25.94626,32.55228,"002-29",1,,"",,,,,2015-03-03,"16:00:00",2015-03-03,"17:08:00",2015-03-04,"17:08:00",999,999,,0,0,"GIZELA-ELAISA",1,3,25.92,0,,,,,,"002.29","MARIA ISABEL","05_08_1112"
"SPB2032",2032,"3/3/2015","9:52:00 AM",25.94355,32.5577,"001-29",1,,"",,,,,2015-03-03,"15:05:00",2015-03-03,"15:30:00",2015-03-04,"15:32:00",998,998,,0,0,"ANABELA/BACELAR",1,3,20.45,,,,,,,"001.29","MARIO AMOS","05_08_1113"
"SPB2035",2035,"3/5/2015","9:47:00 AM",25.94489,32.55388,"005-32",1,,"",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",999,43,,0,0,"ALAISA-MULA-GIZELA",1,3,16.93,0,,,,,,"005.32","LAURINDA MACUCULE","05_08_1114"
"SPB2036",2036,"3/6/2015","10:03:00 AM",25.9369,32.56394,"002-30",1,,"",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",999,999,,0,0,"AMADEU",1,3,40.71,0,,,,,,"002.30","MARIO AMOS","05_08_1115"
"SPB2037",2037,"3/9/2015","10:06:00 AM",25.93122,32.56152,"165-31",1,,"",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,0,,0,0,"ANABELA/BACELAR",1,3,17.05,0,,,,,,"165.31","SALMA XAVIER","05_08_1116"
"SPB2038",2038,"3/6/2015","10:15:00 AM",25.93502,32.56244,"004-29",1,,"",,,,,2015-03-06,"12:15:00",2015-03-06,,2015-03-07,"17:00:00",998,999,,0,0,"BACELAR/ANABELA",1,3,24.61,0,,,,,,"004.29","MARIO AMOS","05_08_1117"
"SPB2039",2039,"3/9/2015","10:11:00 AM",25.94912,32.55864,"003-30",1,,"",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,999,,0,0,"GISELA-ELOISA",1,3,33.31,0,,,,,,"003.30","SALMA XAVIER","05_08_1118"
"SPB2040",2040,"3/10/2015","9:21:00 AM",25.94873,32.55939,"006-29",1,,"",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"ANABELA/BACELAR",1,3,19.95,0,,,,,,"006.29","MARIA ISABEL","05_08_1119"
"SPB2041",2041,"3/10/2015","9:23:00 AM",25.95259,32.55969,"006-30",1,,"",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"AMADEU/ELOISA",1,3,21.49,0,,,,,,"006.30","MARIA ISABEL","05_08_1120"
"SPB2042",2042,"3/25/2015","9:33:00 AM",25.94624,32.55561,"023-29",1,,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",998,999,,0,0,"AMADEU/ANABELA",1,1,32.53,0,,,,,,"023.29","SALMA XAVIER","05_08_1121"
"SPB2043",2043,"3/25/2015","9:20:00 AM",25.94522,32.55672,"013-32",1,,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"ELOISA-GISELA",1,3,28.17,0,,,,,,"013.32","SALMA-XAVIER","05_08_1122"
"SPB2044",2044,"5/12/2015","10:15:00 AM",25.94183,32.55693,"002-01",1,,"",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,999,,0,0,"ELOISA-BACELAR",1,3,41.03,0,,,,,,"002-01","MARCIO AMOS","05_08_1123"
"ZCA2029",2029,"5/12/2015","10:15:00 AM",25.94407,32.56058,"026-29",1,,"Sample taken at the entrance (zinc plate) where people touch when they go to latrine.",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",47,13,,0,0,"AMADE/GIZELA",0,,,,1,,1,0,0,"026-29","MARCIO AMOS","05_07_1124"
"ZCA2030",2030,"3/26/2015","9:24:00 AM",25.94715,32.55198,"014-32",1,,"",,,,,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",999,48,,0,0,"GISELA-ELOISA",0,,,,1,,2,0,0,"014-32","MARIA","05_07_1125"
"ZCA2031",2031,"3/3/2015","9:50:00 AM",25.94365,32.55762,"001-32",1,,"Sample collected also from barrel where they deposit the toilet paper.",,,,,2015-03-03,"14:23:00",2015-03-03,"15:20:00",2015-03-04,"17:08:00",2,1,,0,0,"ANABELA/BACELAR",0,,,,1,,1,1,0,"001.32","MARIO AMOS","05_07_1126"
"ZCA2032",2032,"3/3/2015","9:44:00 AM",25.94365,32.55764,"001-32",1,,"The sample was only collected at the door because they don't touch any wall",,,,,2015-03-03,"15:05:00",2015-03-03,"16:30:00",2015-03-04,"16:42:00",16,0,,0,0,"GISELA/ELOISA",0,,,,1,,1,0,0,"001.32","MARIO AMOS","05_07_1127"
"ZCA2034",2034,"3/5/2015","9:59:00 AM",25.94376,32.55799,"163-31",1,,"Sample collected from bags that they using as a door.",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",0,0,,0,0,"",0,,,,1,,0,1,0,"163.31","LAURINDA MACUCULE","05_07_1128"
"ZCA2035",2035,"3/5/2015","9:25:00 AM",25.94497,32.55382,"004-32",1,,"They don't touch in the walls, the sample was only collected from the door.",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",0,0,,0,0,"AMADEU",0,,,,1,,1,1,0,"004.32","LAURINDA MACUCULE","05_07_1129"
"ZCA2036",2036,"3/6/2015","9:55:00 AM",25.96199,32.58968,"001-30",1,,"They don't touch in the walls, the sample was only collected from the door.",,,,,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",998,999,,0,0,"ELOISA-GISELA-AMADEU",0,,,,1,,1,0,0,"001.30","MARIO AMOS","05_07_1130"
"ZCA2037",2037,"3/9/2015","9:46:00 AM",25.93127,32.5613,"164-31",1,,"Sample collected from convas (hard plastic), the bathroom is provisory and is not possible to touch in the walls.",,,,,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,999,,0,0,"ANABELA/BACELAR",0,,,,1,,1,0,0,"164.31","MARIO AMOS","05_07_1131"
"ZCA2038",2038,"3/6/2015","9:50:00 AM",25.93534,32.56261,"003-29",1,,"",,,,,2015-03-06,"12:15:00",2015-03-06,"16:53:00",2015-03-07,"17:00:00",999,999,,0,0,"BACELAR/ANABELA",0,,,,1,,1,0,0,"003.29","MARIO AMOS","05_07_1132"
"ZCA2039",2039,"3/9/2015","10:16:00 AM",25.94919,32.55866,"004-30",1,,"They don't touch in the walls, the sample was only collected from the door.",,,,,2015-03-09,"12:30:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,999,,0,0,"GIZELA",0,,,,1,,2,0,0,"004.30","SALMA XAVIER","05_07_1133"
"ZCA2040",2040,"3/10/2015","8:50:00 AM",25.93496,32.56271,"005-29",1,,"",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,,0,0,"ANBELA/BACELA",0,,,,1,,1,1,0,"005.29","MARIA ISABEL","05_07_1134"
"ZCA2041",2041,"3/10/2015","9:46:00 AM",25.95265,32.5597,"005-30",1,,"There are two latrines in the compound but they are using only one. They don't touch in the walls, the sample was only collected from the door.",,,,,2015-03-10,"14:00:00",2015-03-10,,2015-03-11,,999,999,,0,0,"GIZELA",0,,,,1,,2,0,0,"005.30","MARIA ISABEL","05_07_1135"
"ZCA2042",2042,"3/25/2015","11:20:00 AM",25.94633,32.55552,"022-29",1,,"",,,,,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",37,8,,0,0,"AMADEU/ANABELA",0,,,,1,,1,1,0,"022.29","SALMA XAVIER","05_07_1136"
"ZCA2043",2043,"3/25/2015","9:28:00 AM",25.94526,32.55675,"012-32",1,,"The colonies, both coliforms and E.Coli presented extremely pallid",,,,,2015-03-25,"12:10:00",2015-03-25,"16:10:00",2015-03-26,"16:10:00",999,999,,0,0,"ELOISA-GISELA",0,,,,1,,1,0,0,"012.32","SALMA XAVIER","05_07_1137"
"ZCA3001",3001,"3/11/2015","10:17:00 AM",25.94457,32.57943,"008-29",2,,"There is no door in the latrine, the sample was collected from the walls because they touch the walls.",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",999,999,,0,0,"ANABELA/AMADEU",0,,,,1,,2,2,0,"008.29","LAURINDA MACUCULE","05_07_1138"
"ZCA3006",3006,"3/12/2015","9:15:00 AM",25.9439,32.58358,"010-30",2,,"In this latrine the feces mix with the bathing water in the same drain. Here were not collected drain sample.",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",0,0,,0,0,"GISELA",0,,,,4,,1,1,0,"010.30","MARIO AMOS","05_07_1139"
"ZCA3030",3030,"3/13/2015","9:14:00 AM",25.94331,32.5812,"014-29",2,,"Sample collected from door of zinc plate.",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",999,46,,0,0,"ANABELA/BACELAR",0,,,,1,,1,0,0,"014-29","SALMA XAVIER","05_07_1140"
"ZCA3031",3031,"3/11/2015","10:08:00 AM",25.9434,32.57974,"007-30",2,,"They don't touch in the walls.",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",55,999,,0,0,"ELOISA-GISELA",0,,,,1,,1,0,,"007.30","LAURINDA MACUCULE","05_07_1141"
"ZCA3032",3032,"3/18/2015","10:34:00 AM",25.9448,32.5834,"008-32",2,,"Most of households use this latrine.",,,,,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",999,115,,0,0,"GISELA",0,,,,1,,3,0,0,"008.32","SALMA XAVIER","05_07_1142"
"ZCA3033",3033,"3/24/2015","9:09:00 AM",25.94152,32.58831,"169-31",2,,"",,,,,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",48,0,,0,0,"GESELA-ELOISA",0,,,,1,,1,0,0,"169.31","MARIO AMOS","05_07_1143"
"ZCA3034",3034,"3/13/2015","9:26:00 AM",25.94316,32.58126,"012-30",2,,"Most of households use this latrine.",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",145,93,,0,0,"ELOISA/GIZELA",0,,,,1,,2,0,0,"012.30","SALMA XAVIER","05_07_1144"
"ZCA3036",3036,"3/18/2015","11:09:00 AM",25.94175,32.58841,"166-31",2,,"Sample collected from the hoop of the door and from the walls, where they touch when they are using the latrine.",,,,,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",999,999,,0,0,"BACELAR/ANABELA",0,,,,4,,1,1,0,"166.31","SALMA XAVIER","05_07_1145"
"ZCA3037",3037,"3/12/2015","9:36:00 AM",25.94513,32.57913,"011-29",2,,"There is no door in the latrine, the sample was collected from the walls",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,,0,0,,0,0,"ANABELA/BACELAR",0,,,,1,,1,1,0,"011.29","MARIO AMOS","05_07_1146"
"ZCA3039",3039,"3/24/2015","9:04:00 AM",25.9415,32.58816,"167-31",2,,"",,,,,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",0,0,,0,0,"AMADEU/ ANABELA",0,,,,1,,1,0,0,"167-31","MARIO AMOS","05_07_1147"
"ZCB2030",2030,"3/26/2015","9:25:00 AM",25.94715,32.55198,"014-32",1,,"",,,,,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",20,0,,0,0,"ELOISA-GISELA",0,,,,1,,2,0,0,"014.32","MARIA ISABEL","05_07_1148"
"ZCB3001",3001,"3/11/2015","10:23:00 AM",25.94457,32.57943,"008-29",2,,"There is no door in the latrine, the sample was collected from the walls",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",999,999,,0,0,"ANABELA/AMADEU",0,,,,1,,2,2,,"008.29","LAURINDA MACUCULE","05_07_1149"
"ZCB3032",3032,"3/18/2015","10:57:00 AM",25.9448,32.5834,"008-32",2,,"",,,,,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",37,6,,0,0,"GIZELA",0,,,,4,,3,0,0,"008.32","SALMA XAVIER","05_07_1150"
"ZCB3034",3034,"3/13/2015","9:29:00 AM",25.94316,32.58126,"012-30",2,,"",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",999,130,,0,0,"GIZELA/ELOISA",0,,,,5,,2,0,1,"012.30","SALMA XAVIER","05_07_1151"
