number,formid,form.com_dd,form.neighbor,form.neighbor_other,form.entity,form.com_gps,form.com_gps_unit,form.com_gps_id,form.com_gps_lat,form.com_gps_lon,form.com_waypoint,form.num_partic,form.num_fem,form.num_male,form.com_q1a,form.com_q1b,form.com_q2a,form.com_q2b,form.com_q3a,form.com_q3b,form.com_q4a,form.com_q4b,form.com_q4c,form.com_q4d,form.com_q4e,form.com_q4f,form.com_q4g,form.com_q4h,form.com_q5a,form.com_q5b,form.com_q5c,form.com_q5d,form.com_q5e,form.com_q5f,form.com_q5g,form.com_q5h,form.com_q6a,form.com_q6b,form.com_q6c,form.com_q6d,form.com_q6e,form.com_q6f,form.com_q6g,form.com_q6h,form.com_q6i,form.com_q6j,form.com_q7a,form.com_q7b,form.com_q7c,form.com_q7d,form.com_q7e,form.com_q7f,form.com_q7g,form.com_q7h,form.com_q8a,form.com_q8b,form.com_q8c,form.com_q8d,form.com_q8e,form.com_q8f,form.com_q8g,form.com_q8h,form.com_q8i,form.com_q8j,form.com_q9a,form.com_q9b,form.com_q9c,form.com_q9d,form.com_q9e,form.com_q9f,form.com_q9g,form.com_q9h,form.com_q10a,form.com_q10b,form.com_q10c,form.com_q10d,form.com_q10e,form.com_q10f,form.com_q10g,form.com_q10h,form.com_q11a,form.com_q11b,form.com_q12a,form.com_q12b,form.com_q12c,form.com_q12d,form.com_q13a,form.com_q13b,form.com_q13c,form.com_q13d,form.com_q14a,form.com_q14b,form.com_q14c,form.com_q14d,form.com_q14e,form.com_q14f,form.com_q15a,form.com_q15b,form.com_q15c,form.com_q15d,form.com_q15e,form.com_q15f,form.com_q16a,form.com_q16b,form.com_q16c,form.com_q16d,form.com_q16e,form.com_q16f,form.com_q16g,form.com_q16h,form.com_q17a,form.com_q17c,form.com_q17e,form.com_q17g,form.com_q17i,form.com_q18a,form.com_q19a,form.com_q19b,form.com_q19c,form.com_q19d,form.com_q19e,form.com_q19f,form.com_q19g,form.com_q19h,form.com_q19i,form.com_q19j,form.com_q20a,form.com_q20b,form.com_q20c,form.com_q20d,form.com_q20e,form.com_q20f,form.com_q20g,form.com_q20h,form.com_q20i,form.com_q20j,form.com_q21a,form.com_q21b,form.com_q21c,form.com_q21d,form.com_q21e,form.com_q21f,form.com_q21g,form.com_q21h,form.com_q21i,form.com_q21j,form.com_q22a,form.com_q22b,form.com_q22c,form.com_q22d,form.com_q22e,form.com_q22f,form.com_q22g,form.com_q22h,form.com_q22i,form.com_q22j,form.com_q23a,form.com_q23b,form.com_q23c,form.com_q23d,form.com_q23e,form.com_q23f,form.com_q23g,form.com_q23h,form.com_q23i,form.com_q23j,form.com_q24a,form.com_q24b,form.com_q24c,form.com_q24d,form.com_q24e,form.com_q24f,form.com_q24g,form.com_q24h,form.com_q24i,form.com_q24j,form.com_q25a,form.com_q25b,form.com_q25c,form.com_q25d,form.com_q25e,form.com_q25f,form.com_q25g,form.com_q25h,form.com_q25i,form.com_q25j,form.com_notes,form.com_enumerator_names,form.ocean_qs,form.surface_qs,completed_time,started_time,username,received_on,caseid,case_name
21,13882b8b-05e1-407e-8c67-c4e9f61f2e86,2016-07-22 15:32:00,Kokomlemle,---,MALE,5.57879828 -0.206034 62.0 5.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,0,1,2,1,2,1,9,1,5,0,2,0,4,0,4,0,1,0,0,0,1,0,7,0,5,0,4,1,2,1,4,1,0,1,8,1,1,1,2,1,3,1,10,1,12,1,2,1,9,1,2,1,9,1,3,1,2,1,7,1,5,1,2,1,9,1,3,1,1,1,1,1,3,6,13,7,7,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,1,0,1,0,1,0,1,5,1,1,1,2,1,0,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,3,1,1,1,0,1,1,1,0,1,3,1,1,1,1,1,0,1,1,1,NA,"MICHAEL,FRED,REGINALD",0,0,2016-07-22 16:41:53,2016-07-22 15:32:32,maggrey,2016-07-22 16:50:09,---,---
22,f4034993-f037-4340-b341-00dc6d42e162,2016-07-05 16:49:00,Ringway,---,MALE,5.55743262 -0.18617209 86.0 4.0,No,---,---,---,---,7,0,7,0,0,7,0,7,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,0,0,0,1,0,0,0,3,0,1,0,2,0,1,0,3,0,0,0,1,0,2,0,4,0,0,0,2,0,5,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,0,1,0,6,0,0,0,6,0,1,0,0,0,0,0,5,2,3,0,0,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,NA,"MICHAEL,SOLOMON",0,0,2016-07-05 17:37:53,2016-07-05 16:49:16,maggrey,2016-07-05 17:38:59,---,---
23,003fd144-30a3-4f16-9b0b-56393afdfa03,2016-06-14 12:59:00,Adabraka,---,FEMALE,5.5608003 -0.2116827 0.0 51.09,No,---,---,---,---,15,15,0,15,0,0,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6,0,2,0,3,0,3,0,2,0,13,0,0,0,1,0,1,0,4,0,4,0,0,0,6,0,1,0,11,0,2,0,3,0,1,0,5,0,3,0,5,0,2,0,3,0,12,0,4,0,11,0,1,0,14,0,1,0,2,0,3,0,8,0,4,0,2,0,7,0,0,0,6,0,4,7,13,1,3,15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,0,3,0,3,0,3,0,3,0,2,0,6,0,2,0,2,0,3,0,4,0,1,0,7,0,3,0,0,0,5,0,0,0,3,0,2,0,5,0,6,0,3,0,1,0,1,0,4,0,NA,"MICHAEL,REGINALD,SOLOMON,FRED,SELBY",0,0,2016-06-14 14:08:08,2016-06-14 12:58:59,iselby,2016-06-14 14:08:21,---,---
24,7343ce79-c027-41d3-875a-806176d36847,2016-06-28 17:07:00,Ringway,---,female,5.55377924 -0.18512916 6.0 5.0,No,---,---,---,---,10,10,0,10,0,0,0,10,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,0,0,0,2,0,3,0,2,0,6,0,1,0,1,0,2,0,1,0,2,0,6,0,0,0,1,0,3,0,3,0,3,0,1,0,2,0,4,0,3,0,1,0,0,0,8,0,2,0,5,0,2,0,6,0,2,0,2,0,3,0,5,0,2,0,2,0,3,0,3,0,2,0,3,1,7,1,3,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,0,1,0,1,0,1,0,2,0,4,1,2,1,0,1,1,1,0,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,3,1,0,1,0,1,4,1,1,1,1,1,1,1,0,1,NA,"Ethel, Solomon, Irving",0,0,2016-06-28 18:24:39,2016-06-28 17:07:57,iselby,2016-06-28 18:24:54,---,---
25,7713c2d1-bdc0-4180-958f-9d3b705117df,2016-06-28 17:25:00,Ringway,---,male,5.55395967 -0.18509554 37.0 11.0,No,---,---,---,---,7,0,7,0,0,7,0,7,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,0,3,0,3,0,1,0,0,0,1,0,2,0,3,0,1,0,1,0,1,0,5,0,0,0,0,0,4,0,2,0,1,0,0,0,1,0,0,0,4,0,2,0,2,0,2,0,3,0,2,0,1,0,3,0,0,0,1,0,2,0,5,0,1,0,3,0,1,0,2,0,1,0,2,0,7,0,0,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,0,1,0,2,0,4,0,0,0,2,0,1,0,1,0,2,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0,NA,"MICHAEL,FREDRICK,REGINALD",0,0,2016-06-28 18:27:01,2016-06-28 17:25:02,famponsah,2016-06-28 18:27:06,---,---
26,7da543a6-abf4-4aba-9bdf-d669b725b9fc,2016-06-13 11:20:00,Adabraka,---,MALE,5.56130743 -0.21156344 71.0 6.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,8,1,2,1,0,1,4,1,1,2,4,2,4,2,3,2,5,2,3,2,3,2,1,0,1,2,2,2,8,2,0,2,3,2,8,2,2,2,2,2,2,2,2,2,10,2,3,2,7,2,6,2,7,2,0,2,6,2,3,2,2,2,8,2,0,3,4,3,1,3,7,3,1,2,3,1,6,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4,4,0,4,0,4,0,4,2,4,3,4,2,4,0,4,0,4,0,4,4,4,1,4,1,4,0,4,0,4,2,4,2,4,0,4,0,4,1,4,3,4,0,4,1,4,1,4,0,4,NA,MICHAEL,0,0,2016-06-13 12:58:41,2016-06-13 11:20:03,famponsah,2016-06-13 12:58:58,---,---
27,cd453a44-fc43-467d-87b2-b9c3d2e66ab2,2016-04-06 13:02:00,Shiabu,---,all female,,No,---,---,---,---,12,0,12,0,0,12,0,12,0,6,0,2,0,2,0,2,0,9,0,1,0,2,0,0,0,10,0,0,0,0,0,2,0,---,---,12,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,3,0,3,0,4,0,2,0,12,0,0,0,0,0,0,0,1,0,2,0,---,---,0,0,---,---,0,0,1,0,10,0,0,0,1,0,11,0,0,1,1,1,1,1,---,---,2,1,7,0,1,10,3,1,1,1,1,1,5,1,0,1,3,1,1,1,1,1,4,1,1,1,4,1,1,1,0,1,2,1,3,1,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7,1,2,0,0,1,2,1,1,1,5,1,2,1,8,0,2,1,0,1,0,1,0,1,"Add financial incentive
Feedback on research needed by community","Jemimah, Ethel, Godwin, Ato",1,1,2016-04-06 15:55:20,2016-04-06 13:02:38,test,2016-04-07 08:33:13,---,---
28,09b25c01-beef-4092-8716-2fbb87a3c5f1,2016-07-22 15:30:00,Kokomlemle,---,Female,5.57872418 -0.20609238 45.0 4.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,0,3,0,5,0,2,0,4,0,5,0,2,0,6,0,2,0,4,0,3,0,4,0,4,0,1,0,4,0,4,0,4,0,3,0,9,0,5,0,1,0,0,0,2,0,14,0,1,0,13,0,1,0,14,0,0,0,1,0,1,0,13,0,1,0,4,0,5,0,5,0,1,0,3,4,7,0,0,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,0,2,0,1,0,0,0,2,0,1,0,3,0,3,0,1,0,0,0,0,0,1,0,3,0,3,0,1,0,4,0,1,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,NA,"Irving ,Solomon",0,0,2016-07-22 16:51:17,2016-07-22 15:30:24,iselby,2016-07-22 16:51:20,---,---
29,19eefce9-9b20-4000-90a9-0dd5eb275fa2,2016-05-03 11:21:00,Chorkor,---,All Male,5.52613427 -0.24839483 39.0 3.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,12,0,3,0,0,0,0,0,6,0,3,0,3,0,3,0,7,0,3,0,5,0,0,0,0,0,12,0,0,0,3,0,0,0,2,0,2,0,8,0,1,0,2,0,4,0,6,0,5,0,0,0,6,1,0,1,7,1,1,1,1,0,2,0,13,0,1,0,13,0,0,0,2,0,13,0,1,0,1,0,13,0,1,0,1,0,0,0,13,0,5,7,13,2,2,10,5,0,2,0,2,0,1,0,0,0,1,0,0,0,2,0,2,0,5,0,1,0,0,0,6,0,2,0,1,0,2,0,3,0,4,0,0,0,1,0,2,0,3,0,4,0,1,0,0,0,0,0,1,0,7,0,1,0,1,0,4,0,3,0,2,0,1,0,0,0,NA,"Solomon, Betty, Ethel, Irving",1,1,2016-05-03 13:21:13,2016-05-03 11:21:25,iselby,2016-05-03 13:21:22,---,---
30,27ad1c65-198d-4dda-bd08-fe9a4befd73f,2016-05-03 09:37:00,Chorkor,---,FEMALE,5.52682766 -0.23906285 69.0 6.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,5,0,0,0,4,0,6,0,3,0,1,0,5,0,6,0,8,0,1,0,4,0,0,0,2,0,9,0,0,0,2,0,4,0,8,0,0,0,5,0,2,0,0,0,9,0,3,0,0,0,3,0,13,0,2,0,1,0,0,0,3,0,2,0,0,0,2,0,0,0,1,0,1,0,13,0,1,0,2,0,13,0,2,0,0,0,0,0,13,0,6,0,7,2,4,15,2,0,1,0,5,0,2,0,2,0,2,0,1,0,2,0,7,0,0,0,7,0,1,0,0,0,4,0,4,0,1,0,2,0,2,0,6,0,2,0,1,0,1,0,1,0,2,0,5,0,3,0,2,0,4,0,3,0,3,0,12,0,3,0,0,0,1,0,2,0,NA,"MICHAEL,REGINALD,FREDRICK,ANABEL",1,1,2016-05-03 11:41:02,2016-05-03 09:37:56,maggrey,2016-05-03 11:41:09,---,---
31,91969a86-60d2-4296-aa4c-a501b6703cea,2016-07-20 16:30:00,Kokomlemle,---,Female,5.58044601 -0.20798081 45.0 5.0,No,---,---,---,---,14,14,0,14,0,0,0,14,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,0,4,0,7,0,0,0,3,0,4,1,2,1,3,1,4,1,1,0,2,0,3,0,5,0,3,0,2,0,8,0,2,0,2,0,6,0,2,0,1,0,4,0,6,0,7,0,7,0,7,0,7,0,7,0,0,0,7,0,2,0,5,0,7,0,3,0,4,0,0,0,7,0,6,6,8,4,2,12,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,0,2,0,2,0,3,0,3,0,1,0,2,0,1,0,5,0,3,0,2,1,3,1,1,1,4,1,1,1,2,0,4,0,5,0,0,0,1,0,6,0,0,0,2,0,3,0,1,0,NA,"Irving, Solomon",0,0,2016-07-20 17:59:05,2016-07-20 16:30:03,iselby,2016-08-08 16:39:11,---,---
32,89e05162-8acc-44fe-8066-ed56fe0b1836,2016-07-04 17:17:00,Ringway,---,male,5.56449515 -0.18335246 61.0 4.0,No,---,---,---,---,11,0,11,0,0,11,11,11,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,0,3,0,3,0,1,0,1,0,4,0,0,0,6,0,1,0,2,0,1,0,6,0,2,0,0,0,1,0,1,0,7,0,2,0,10,0,0,0,1,0,0,0,4,0,8,0,3,0,8,0,3,0,8,0,0,0,3,0,8,0,0,0,3,0,1,0,7,0,0,0,3,0,2,6,9,4,6,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4,1,2,1,2,1,0,1,0,0,2,1,4,1,2,1,0,1,0,1,1,1,5,1,3,1,1,1,0,1,1,0,5,0,3,0,2,0,2,0,5,0,4,0,2,0,0,0,0,0,NA,"Fred, Michael.",0,0,2016-07-04 18:32:47,2016-07-04 17:17:21,ethel,2016-07-04 18:32:55,---,---
33,d6f3432f-7438-48bd-94a1-f715476db9ef,2016-05-04 11:33:00,Chorkor,---,MALE,5.52676722 -0.23929158 23.0 9.0,No,---,---,---,---,15,0,15,0,0,15,0,15,0,7,0,2,0,1,0,5,0,1,0,11,0,3,0,0,0,9,0,5,0,1,0,0,0,0,0,9,0,2,0,2,0,2,0,5,0,6,0,1,0,2,0,1,0,10,0,2,0,1,0,2,0,13,0,2,0,0,0,0,0,3,0,1,0,14,0,1,0,14,0,1,0,14,0,14,0,0,0,0,0,14,0,0,0,0,0,1,0,14,0,13,10,11,10,11,15,4,0,3,0,4,0,0,0,4,0,3,0,1,0,3,0,4,0,4,0,7,0,5,0,1,0,1,0,2,0,9,0,1,0,0,0,0,0,5,0,8,0,3,0,1,0,0,0,1,0,7,0,3,0,3,0,1,0,1,0,12,0,0,0,1,0,1,0,1,0,NA,"ANABEL,REGINALD,MICHAEL,FREDRICK",1,1,2016-05-04 13:13:12,2016-05-04 11:33:13,maggrey,2016-05-04 13:13:18,---,---
34,62af277f-6824-4eae-aa5e-3dc350b5c2ab,2016-04-29 09:41:00,Chorkor,---,FEMALE,5.526929263444477 -0.23930831538656158 36.63 6.0,No,---,---,---,---,15,15,0,15,0,0,0,15,0,4,0,2,0,5,0,4,0,3,0,9,0,2,0,1,0,12,0,1,0,1,0,0,0,1,0,6,0,2,0,1,0,4,0,5,0,9,0,0,0,0,0,0,0,5,0,5,0,4,0,1,0,7,0,2,0,2,0,1,0,2,0,0,0,15,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,15,0,0,0,0,0,15,0,5,3,12,5,6,13,2,1,3,1,5,1,0,1,2,1,1,1,3,1,2,1,2,1,5,1,13,1,13,1,1,1,1,1,1,1,10,1,1,1,0,1,0,1,1,1,0,1,10,1,1,1,0,1,0,1,1,1,5,1,1,1,1,1,3,1,9,1,2,1,1,1,0,0,0,0,NA,"MICHAEL,REGINALD,ANABEL,FREDRICK",1,1,2016-04-29 11:41:52,2016-04-29 09:41:29,maggrey,2016-04-29 11:41:58,---,---
