number,formid,form.sampleid,form.barcode,form.sampleid_no_match,form.sample_type,form.study_type,form.p_location,form.t_location,form.s_location,form.ec_dd,form.ec_th,form.ev_lat_lon,form.ev_way,form.ev_way_deviceID,form.neighbor,form.source_ty_ocean,form.other_source_ocean,form.produce_type,form.produce_quantity,form.water_level,form.water_flow,form.drain_size,form.drain_lining,form.currently_raining,form.rain_last_day,form.feces_near,form.animals_near,form.housolds_present,form.num_households_present,form.schools_present,form.pub_latrines_present,form.hh_latrines_present,form.orn_ag_present,form.businesses_present,form.source_ty,form.other_source,form.containr,form.covered,form.free_cl,form.total_cl,form.surface_source_ty,form.surface_source_ty_other,form.source_dist,form.particle_sample_type,form.particle_sample_type_other,form.swab_surface,form.swab_surface_other,form.source_type,form.source_type_other,form.n_stall,form.vis_fec,form.latrine_user_num,form.hw_stat,form.dis_lat,form.notes,form.collection_enumerator_names,form.@uiVersion,openrosa_headers.HTTP_X_OPENROSA_VERSION,date_header,auth_context.doc_type,auth_context.domain,form.collector_id,auth_context.user_id,_rev,computed_modified_on_,form.meta.location.@xmlns,form.ev_notes,auth_context.authenticated,form.#type,initial_processing_complete,form.sample_weight,path,domain,completed_time,started_time,username,received_on,caseid,case_name
135,1444070b-3bfa-480f-88dc-8231c4812721,833,833,---,2,---,---,---,---,2016-03-24,09:48:00.000Z,5.53513195 -0.25718111 40.0 4.0,0,NA,Shiabu,---,---,Green Pepper,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"Christian, Mario, Bert Boi",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-d93b5449510a42d06628fed837496635,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-24 09:49:42,2016-03-24 09:48:02,test,2016-03-24 09:49:47,---,---
136,14a0d066-f74e-4679-8f9b-9108799750f4,551,551,---,7,---,---,---,---,2016-07-08,10:29:00.000Z,5.56087785 -0.18515222 43.0 4.0,551,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,1,3,0,---,latrine floor swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-1239880d2ce304485da2dd6b4ac247d8,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-08 10:30:27,2016-07-08 10:27:01,rkuddy,2016-07-08 10:32:26,---,---
137,152ac911-b59b-4d64-83ad-4fa58e3af02b,857,857,---,8,---,---,---,---,2016-03-30,09:32:00.000Z,5.52874557 -0.25509182 25.0 6.0,12,Sp09,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,1,---,---,---,---,---,---,---,---,---,10,Within 3m of open drain,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-064a10a5aa0cdf18e807b65e4c3f0640,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-30 09:35:35,2016-03-30 09:30:47,test,2016-06-03 16:50:27,---,---
138,0f900963-3d36-4712-8960-40f104a7d9cd,233,233,---,1,S,---,---,4,2016-05-12,10:22:00.000Z,5.52659747 -0.24198491 28.0 5.0,233,WRI 2,Chorkor,---,---,---,---,1,1,1,1,0,0,1,0,1,2,0,1,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-10a2ef866597eebc441824dc4911c85f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-12 21:23:55,2016-05-12 21:21:31,rkuddy,2016-05-12 10:24:31,---,---
139,1a24a7cf-1e72-410d-aacd-123e21c5bd70,550,550,---,7,---,---,---,---,2016-07-08,10:21:00.000Z,5.56141502 -0.18539075 39.0 5.0,550,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,6,0,---,Latrine wall swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-7c1e92825d52695c5f836082fd2a9eea,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-08 10:23:02,2016-07-08 10:20:49,rkuddy,2016-07-08 10:25:02,---,---
140,1ac54457-8628-4245-b26c-7045f085fe1f,854,854,---,4,---,---,---,---,2016-03-29,11:55:00.000Z,5.52046691 -0.26735644 36.0 12.0,10,spigen,Shiabu,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of trash,"RK,BNBB,MC",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-c538e92a103145dbdf39827d39941e52,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-29 11:56:19,2016-03-29 11:54:54,test,2016-06-03 16:50:18,---,---
141,109e6611-35b1-47ae-9ec0-e8fc68a069e7,598,598,---,7,---,---,---,---,2016-07-21,10:13:00.000Z,5.57503753 -0.2124707 48.0 4.0,598,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,0,7,0,---,Latrine floor swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-e0958822dbbfe405f0ed2db14fec276a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-21 10:15:04,2016-07-21 10:12:55,rkuddy,2016-07-21 14:15:58,---,---
142,0e4a2b88-3bf3-4128-801e-9cda5b4d868c,500,500,---,7,---,---,---,---,2016-07-08,11:16:00.000Z,5.55793866 -0.1859433 52.0 5.0,500,WRI 4,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,9999,0,---,"Wet floor, seat cover removed",MC,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-eb26966c32a8ad989a127b6a90d69222,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-08 10:22:15,2016-07-08 10:16:17,mchrisk,2016-07-08 10:22:23,---,---
143,024cf662-71da-43fa-944f-c43358f4df14,349,349,---,1,S,---,---,20,2016-06-13,13:37:00.000Z,5.5618237 -0.21248491 33.0 4.0,20,WRI 15,Adabraka,---,---,---,---,1,1,2,1,0,1,0,1,1,1,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Within 30m of public laterine and  meat market, charcoal vendor","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-e5327c3a0f41eb1610da46e3264a6c9f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-13 13:40:29,2016-06-13 13:36:22,mchrisk,2016-06-13 13:40:39,---,---
144,068b3633-92e4-48c3-9e2d-d149058522b8,369,369,---,1,S,---,---,21,2016-06-29,11:12:00.000Z,5.56350966 -0.1933445 70.0 5.0,369,WRI4,Ringway,---,---,---,---,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,The compound within 3m is a big residential compoind woth multiple households,"BNBB, CFK, MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-2efab2ae6ef833f56feaec8de06a280d,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-29 11:16:26,2016-06-29 11:12:21,mchrisk,2016-06-29 11:16:40,---,---
145,07cdfd7b-0a2e-4514-ab75-7e2c5411b7fd,771,771,---,7,---,---,---,---,2016-04-27,11:59:00.000Z,5.52871536 -0.24746994 56.0 5.0,2216,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,compound floor,5,---,2,1,7,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-fb3781f1ce19526d03e269f9b7603fc1,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 23:00:53,2016-04-27 22:59:05,rkuddy,2016-04-27 12:01:30,---,---
146,09201dfa-dc91-4ea9-9b6a-5e8fa401b263,286,286,---,2,---,---,---,---,2016-06-06,11:51:00.000Z,5.56185674 -0.21267476 40.0 5.0,286,WRI 15,Adabraka,---,---,Green pepper,18,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-9e2dde67c914da6c5be5b890132493b2,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-06 11:53:38,2016-06-06 11:51:01,mchrisk,2016-06-06 11:53:44,---,---
147,275dc79f-dd19-4665-9d7f-cc79a865e340,819,819,---,7,---,---,---,---,2016-03-31,10:09:00.000Z,5.5230987 -0.25511423 38.0 5.0,34,03,Shiabu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"Public laterine, laterine wall",2,---,11,3,9999,1,---,Dirty and stained walls,"MC, BNBB, CKAF, RK",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-cad41b63cd7e8abbb3d8af673f211642,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-03-31 10:11:24,2016-03-31 10:09:01,test,2016-06-03 16:51:47,---,---
148,46ad49c0-b9cf-4ea9-a5a8-9e75c72d81cd,596,596,---,7,---,---,---,---,2016-07-20,11:33:00.000Z,5.57894574 -0.21377764 53.0 5.0,596,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,4,0,---,latrine wall swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-b18be08fb1cda2a216ce71a96d59a3e2,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 11:34:33,2016-07-20 11:31:53,rkuddy,2016-07-21 14:15:51,---,---
149,46c50404-5cc2-4222-99ca-664dcfd42f79,204,204,---,8,---,---,---,---,2016-05-11,10:35:00.000Z,5.53020219 -0.24352573 38.0 5.0,204,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,within 3m of open drain with trash,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-2614407b0ed2ddc619b2d419a51f4f12,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-11 21:36:54,2016-05-11 21:34:44,rkuddy,2016-05-11 10:37:30,---,---
150,4dcb64ca-ce9f-4da4-87f7-efbfa4ab47e4,582,582,---,1,T,---,3,---,2016-07-19,10:32:00.000Z,5.57333085 -0.21078629 77.0 5.0,582,WRI 3,Kokomlemle,---,---,---,---,1,2,1,1,0,0,0,0,0,---,1,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Traces of trash in the drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-dd1f8e8e26d64d6ba682252d96b66fbe,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-19 10:33:49,2016-07-19 10:31:30,rkuddy,2016-07-19 10:33:57,---,---
151,51b6d7eb-92c2-4235-9ba8-e38c3dfa2b81,410,410,---,8,---,---,---,---,2016-06-23,11:02:00.000Z,5.55417114 -0.18273306 45.0 5.0,410,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,1,---,---,---,---,---,---,---,---,---,30,school compound sampled and its within 3m of open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-7b08b98d4276edd2820d51ffa5567e12,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-23 11:05:18,2016-06-23 11:02:16,rkuddy,2016-06-23 11:07:10,---,---
152,44c158b0-f270-4617-b902-7b6e5fd9a5d3,610,610,---,7,---,---,---,---,2016-07-21,11:43:00.000Z,5.57612657 -0.21489772 41.0 5.0,610,WRI 4,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,4,0,---,No soap and no tissue paper present,MC,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-e70857c7b57d60f6547800c0cd0043c9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-21 10:51:39,2016-07-21 10:38:06,mchrisk,2016-07-21 14:12:27,---,---
153,42efee55-0730-46a3-b312-f4f466e7aa53,289,289,---,2,---,---,---,---,2016-06-06,12:06:00.000Z,5.56202362 -0.21271404 38.0 4.0,289,WRI 15,Adabraka,---,---,Pepper,16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-d450ce93ab3b61ec93107009d088f236,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-06 12:08:02,2016-06-06 12:06:06,mchrisk,2016-06-06 12:08:09,---,---
154,54cd9815-d99a-4c67-9b3c-7c5ea0fa5041,378,378,---,7,---,---,---,---,2016-06-17,12:15:00.000Z,5.56113091 -0.21601787 27.0 5.0,378,WRI3,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,6,1,---,Swabbed toilet seat only.,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-013e6bb81a53dd804a8486455f75b89f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/b0c6c9eed07efd4152b520f29308a973/,sp-accra,2016-06-17 12:16:21,2016-06-17 12:13:55,bnbboye,2016-06-17 12:16:25,---,---
155,50e9437e-ae6d-48ca-af8b-4905d345f806,346,346,---,1,S,---,---,17,2016-06-13,13:15:00.000Z,5.56310231 -0.21062049 52.0 5.0,17,WRI 15,Adabraka,---,---,---,---,1,1,1,1,0,1,0,0,1,2,0,0,1,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of sealed sewage (manhole) pit,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-fde1e061d7fa838fc1fc4a889cd0f6b6,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-13 13:17:01,2016-06-13 13:14:42,mchrisk,2016-06-13 13:17:07,---,---
156,439d05e2-51cf-4365-b589-bf881b543420,103,103,---,3,---,---,---,---,2016-05-03,11:09:00.000Z,5.52851251 -0.23986204 45.0 3.0,101,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.01,0.05,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-4152c01d5dfcbb97e07dec3c62bbaeac,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-03 11:14:01,2016-05-03 11:09:05,mchrisk,2016-05-03 11:14:06,---,---
157,4c7dbeb2-a6b2-423b-a71c-3198ab2bce7e,828,828,---,2,---,---,---,---,2016-03-23,10:02:00.000Z,5.53264587 -0.25517552 35.0 5.0,0,NA,Shiabu,---,---,carrot,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"mario, bert boi, christian",1,1.0,---,AuthContext,sp-accra,---,702302b8962eebee5431382bb1d96c4f,2-c6e96d1ed43bd2cd0719ddba3076d1c8,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/8222e881d8b4104aed559936036ff9b4/,sp-accra,2016-03-23 10:04:26,2016-03-23 10:01:36,test,2016-03-23 10:04:31,---,---
158,3329e8cb-1dc9-4fa8-9d73-bea9a9d7ea76,351,351,---,7,---,---,---,---,2016-06-17,11:59:00.000Z,5.56140653 -0.21523374 41.0 5.0,351,WRI 5,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,2,2,10,0,---,N/A,CKAF,1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-6d9fe1895442dad6df03b6141c96de79,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-17 12:01:45,2016-06-17 11:58:44,cafrimpong,2016-06-22 09:54:28,---,---
159,33158de6-b233-4490-b76c-6e673dca43ac,213,213,---,1,S,---,---,9,2016-05-12,10:23:00.000Z,5.52624163 -0.24849819 39.0 5.0,213,WRI 5,Chorkor,---,---,---,---,0,---,1,3,0,0,0,0,1,2,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-d656d8162070fe947ffb73ebc08bc172,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-12 10:28:55,2016-05-12 10:22:38,cafrimpong,2016-06-03 17:13:10,---,---
160,3553fa39-a8e6-4bb9-9b5f-01e7ae2da5e1,779,779,---,7,---,---,---,---,2016-04-28,10:06:00.000Z,5.52988134 -0.24607169 55.0 5.0,2221,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,5,---,1,0,2,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-08472e6d8708e8d4f8a77ca59122df6b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-28 21:07:34,2016-04-28 21:06:16,rkuddy,2016-05-03 09:15:25,---,---
161,364da97f-858a-42bd-9afa-0f2ec9ad7a6e,770,770,---,7,---,---,---,---,2016-04-27,11:56:00.000Z,5.52870153 -0.24744728 46.0 5.0,2216,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,2,1,7,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-ee6222bcab9cc327716bc96667a5b0b1,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 22:58:25,2016-04-27 22:55:26,rkuddy,2016-04-27 11:59:03,---,---
162,36853e5b-03de-4f67-944a-fd4acadd8605,761,761,---,7,---,---,---,---,2016-04-26,11:57:00.000Z,5.52787833 -0.24977834 27.0 4.0,2211,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,compound floor,1,---,2,0,20,0,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-4216dac985db3179ef161772b3aa4c31,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-26 22:59:24,2016-04-26 22:56:17,rkuddy,2016-04-26 12:00:01,---,---
163,36b72192-719b-42c9-84d6-d87dbdebcee9,284,284,---,1,S,---,---,1,2016-05-20,10:38:00.000Z,5.5247606 -0.25049325 40.0 5.0,284,WRI 15,Chorkor,---,---,---,---,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Bits of trash in drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-5d004d93bb02d53c08e41aa0c61e5948,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-20 10:40:11,2016-05-20 10:33:12,mchrisk,2016-05-20 10:40:18,---,---
164,3c87d364-7788-4781-b2a8-ccb48baadcae,182,182,---,8,---,---,---,---,2016-05-11,10:00:00.000Z,5.5252166 -0.2515302 38.0 4.0,182,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,100,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-7050e7b13b1f7c2a995c0e848036ddf4,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-11 10:03:42,2016-05-11 10:00:26,cafrimpong,2016-06-03 17:12:04,---,---
165,369f42db-1e6c-480e-813d-d35604eec8c1,220,220,---,1,P,1,---,---,2016-05-18,09:56:00.000Z,5.52920531 -0.24669524 49.0 5.0,15,WRI 15,Chorkor,---,---,---,---,1,2,1,1,0,0,0,0,1,4,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Trash in drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-8373ce2a614831485c0b53c517fd1fbf,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-18 09:57:12,2016-05-18 09:55:22,mchrisk,2016-05-18 09:57:19,---,---
166,37ef4bf9-6db3-4d56-a1f0-f1c084b33b75,765,765,---,7,---,---,---,---,2016-04-26,12:37:00.000Z,5.52750825 -0.2519767 43.0 5.0,2213,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,compound floor,5,---,3,3,9999,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-e12740c523624eceb98f3a3bc43f2370,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-26 23:38:36,2016-04-26 23:36:55,rkuddy,2016-04-26 12:39:13,---,---
167,3fda2437-32b0-444e-beab-624771afe86c,272,272,---,6,---,---,---,---,2016-06-10,12:11:00.000Z,5.56225922 -0.20985714 22.0 5.0,272,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,20,Within school compound,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-984a1d4472f1054f907a16f767d85810,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-10 12:13:24,2016-06-10 12:10:42,bnbboye,2016-06-10 12:15:18,---,---
